"title","count(title)"
"DEXTER",290
"VINVM",290
"LINGVA",286
"VESTIS",285
"INFERVS",282
"VSVS",282
"SINO",282
"SPECTO",281
"CRESCO",280
"IVVENIS/2",280
"DIVES",279
"FONS",278
"ORO",278
"ACIES",278
"SPATIVM",277
"TVRPIS",277
"PERDO",276
"AEQVOR",276
"TVRBA",276
"HORA",275
"SPERO",275
"ALIENVS/2",275
"CANO",275
"ITALIA/N",274
"FERVS/2",274
"SINGVLVS",274
"IRASCOR",272
"SEDES",272
"VMQVAM",272
"CARVS",272
"IVSTVS",272
"VNDIQVE",271
"CONTENDO",271
"AVRA",271
"ERIPIO",270
"GRATVS",269
"DISCEDO/1",267
"SICVT/1",267
"LIBER/1",266
"CLAMOR",266
"FRANGO",266
"LACRIMA",265
"PROPRIVS",265
"NOCEO",265
"ORIOR",264
"QVAMVIS/1",264
"CONDO",264
"QVARE/1",263
"NOBILIS/2",263
"HERCVLES/N",263
"SVBITO",263
"MEMINI",263
"RIDEO",262
"GALLIA/N",261
"DILIGO/3",261
"MOENIA",261
"AMICVS/1",260
"SENTENTIA",260
"TANGO",260
"CENA",259
"DECEM",258
"FOR",258
"TVEOR",257
"TENDO",257
"LIBER/2",257
"EXSPECTO",256
"TERGVM",256
"TAMQVAM/1",255
"SCILICET",253
"DONVM",253
"TVTVS",253
"QVIPPE/1",253
"PORTA",253
"POTIS",253
"COR",252
"CONFERO",252
"SEPTEM",252
"OB",251
"COMMITTO",251
"METVO",251
"VALIDVS",250
"PROBO",250
"PARVM/2",249
"MIRVS",249
"PVGNA",248
"APERIO",248
"ARBOR",248
"AGRIPPINA/N",248
"LVDO",248
"CIRCVM/2",248
"DESVM/1",248
"ERRO/2",248
"POSTERVS",247
"EXEO/1",246
"HONESTVS",246
"SVSTINEO",245
"CONFICIO",245
"LABOR/2",243
"NECESSE",243
"AMITTO",243
"TECTVM",242
"CLAVDO/1",242
"DONO",241
"TENVIS",241
"ABEO/1",241
"EFFICIO",240
"AFFERO",240
"POSCO",240
"CREO",240
"INCIPIO",240
"ASPICIO",240
"MARS/N",240
"CVRRO",239
"VOLVPTAS",239
"RVO",239
"CORNV",238
"MVLTITVDO",237
"AMPLVS",236
"PRAEDA",236
"SVRGO",236
"CAEDES",236
"TIMOR",235
"VICTOR",234
"QVANDO/1",233
"CONCEDO/1",233
"IMPERO",233
"PRAETER/2",232
"ARBITROR",232
"MALO",232
"VOLVNTAS",231
"TOGA",231
"FEMINA",231
"ARDEO",231
"REOR",230
"EXISTIMO",230
"FLVCTVS",229
"RVMPO",229
"APPELLO/1",229
"BIBO/2",229
"QVAMQVAM/2",228
"FVNDO/2",228
"VIVVS/2",228
"MENSA",228
"ITERVM",227
"IMPETVS",227
"POSTEA",227
"IVGVM",227
"AVFERO",227
"MOROR/1",226
"CONTINEO",226
"LIMEN",226
"NIGER",225
"SORS",225
"PRAESIDIVM",225
"SAPIENS/2",225
"REGIO",224
"GLADIVS",224
"SENSVS",224
"CANIS",223
"DEDVCO",223
"DESERO/2",223
"ANIMAL",223
"PONDVS",222
"INFERO",222
"SEMEN/1",222
"CENTVM",222
"SPIRITVS",221
"NATVS/1",221
"GRAECVS/A",221
"GIGNO",221
"INSVLA",221
"FACTVM",221
"QVINQVE",220
"PRAEBEO",220
"CONVERTO",220
"PARCO",220
"FRVSTRA",219
"EXEMPLVM",219
"INTEREA",219
"OFFICIVM",219
"IMPONO",218
"FORVM/1",218
"ET/1",217
"LATVS/1",217
"TENER",217
"FLOS",217
"NIMIVS",217
"VESTIGIVM",216
"COLLVM",216
"NVDVS",216
"CONTINGO/1",216
"LAPIS",215
"CLASSIS",215
"ORATIO",214
"IACTO",214
"OPORTET",214
